code_dept_commune,code_departement,code_commune_INSEE,nom_commune,nb_arrets
75-75056,75,75056,Paris,7090
63-63113,63,63113,Clermont-Ferrand,3011
44-44109,44,44109,Nantes,2868
13-13055,13,13055,Marseille,2809
06-06088,06,06088,Nice,2595
31-31555,31,31555,Toulouse,2388
37-37261,37,37261,Tours,2342
72-72181,72,72181,Mans,2304
76-76351,76,76351,Havre,2143
06-06069,06,06069,Grasse,2115
69-69123,69,69123,Lyon,2109
35-35238,35,35238,Rennes,2087
29-29019,29,29019,Brest,1996
18-18033,18,18033,Bourges,1938
14-14118,14,14118,Caen,1845
45-45234,45,45234,Orléans,1781
53-53130,53,53130,Laval,1681
29-29232,29,29232,Quimper,1669
44-44184,44,44184,Saint-Nazaire,1460
76-76540,76,76540,Rouen,1380
33-33063,33,33063,Bordeaux,1344
85-85191,85,85191,Roche-sur-Yon,1335
80-80021,80,80021,Amiens,1331
49-49099,49,49099,Cholet,1293
13-13001,13,13001,Aix-en-Provence,1280
41-41018,41,41018,Blois,1251
50-50129,50,50129,Cherbourg-en-Cotentin,1219
30-30007,30,30007,Alès,1088
74-74010,74,74010,Annecy,1047
49-49007,49,49007,Angers,1031
25-25056,25,25056,Besançon,1028
87-87085,87,87085,Limoges,1023
34-34172,34,34172,Montpellier,999
82-82121,82,82121,Montauban,996
56-56121,56,56121,Lorient,963
28-28085,28,28085,Chartres,956
56-56260,56,56260,Vannes,946
47-47001,47,47001,Agen,936
68-68224,68,68224,Mulhouse,934
10-10387,10,10387,Troyes,922
28-28134,28,28134,Dreux,917
26-26198,26,26198,Montélimar,916
36-36044,36,36044,Châteauroux,900
35-35288,35,35288,Saint-Malo,890
30-30189,30,30189,Nîmes,885
22-22278,22,22278,Saint-Brieuc,884
64-64102,64,64102,Bayonne,876
18-18279,18,18279,Vierzon,863
56-56101,56,56101,Languidic,849
64-64024,64,64024,Anglet,838
51-51454,51,51454,Reims,828
42-42218,42,42218,Saint-Étienne,827
44-44162,44,44162,Saint-Herblain,826
56-56078,56,56078,Guidel,819
67-67482,67,67482,Strasbourg,811
03-03185,03,03185,Montluçon,810
86-86194,86,86194,Poitiers,783
27-27229,27,27229,Évreux,783
33-33281,33,33281,Mérignac,768
06-06029,06,06029,Cannes,721
17-17415,17,17415,Saintes,708
45-45004,45,45004,Amilly,702
37-37122,37,37122,Joué-lès-Tours,686
84-84007,84,84007,Avignon,680
38-38185,38,38185,Grenoble,677
83-83137,83,83137,Toulon,676
76-76217,76,76217,Dieppe,674
59-59350,59,59350,Lille,673
02-02722,02,02722,Soissons,673
33-33318,33,33318,Pessac,666
13-13004,13,13004,Arles,657
81-81004,81,81004,Albi,651
64-64122,64,64122,Biarritz,646
66-66136,66,66136,Perpignan,634
63-63124,63,63124,Cournon-d'Auvergne,626
21-21231,21,21231,Dijon,625
17-17300,17,17300,Rochelle,619
56-56036,56,56036,Caudan,612
44-44129,44,44129,Pontchâteau,606
57-57463,57,57463,Metz,606
44-44143,44,44143,Rezé,603
14-14366,14,14366,Lisieux,591
74-74281,74,74281,Thonon-les-Bains,588
06-06004,06,06004,Antibes,588
44-44015,44,44015,Blain,576
86-86066,86,86066,Châtellerault,576
27-27681,27,27681,Vernon,573
11-11262,11,11262,Narbonne,571
34-34032,34,34032,Béziers,571
